[2026-07-01 07:15:30] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-07-01 07:15:30] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-07-01 07:15:30] RUNNING | model=BEST | log=BPIC15_1
[2026-07-01 07:15:30] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-07-01 07:15:30] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-07-01 07:15:30] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-07-01 07:15:30] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-07-01 07:15:30] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-07-01 07:15:30] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-07-01 07:15:30] RUNNING | model=BEST | log=BPIC15_2
[2026-07-01 07:15:30] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-07-01 07:15:30] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-07-01 07:15:30] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-07-01 07:15:30] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-07-01 07:15:30] RUNNING | model=BEST | log=BPIC15_3
[2026-07-01 07:15:30] RUNNING | model=SuTraN_NDA | log=BPIC15_4
[2026-07-01 07:15:30] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-07-01 07:15:30] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-07-01 07:15:30] RUNNING | model=BEST | log=BPIC15_4
[2026-07-01 07:15:30] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-07-01 07:27:33] DONE | model=BEST | log=BPIC15_4
[2026-07-01 07:27:33] RUNNING | model=SuTraN_NDA | log=BPIC15_5
[2026-07-01 07:36:34] DONE | model=BEST | log=BPIC15_1
[2026-07-01 07:36:34] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-07-01 07:40:30] DONE | model=BEST | log=BPIC15_2
[2026-07-01 07:40:30] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-07-01 07:41:24] DONE | model=BEST | log=BPIC15_3
[2026-07-01 07:41:24] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-07-01 07:56:52] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-07-01 07:56:52] RUNNING | model=BEST | log=BPIC15_5
[2026-07-01 08:03:36] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-07-01 08:03:36] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-07-01 08:04:57] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-07-01 08:04:57] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
[2026-07-01 08:16:24] DONE | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-07-01 08:16:24] RUNNING | model=ED_LSTM | log=Sepsis
[2026-07-01 08:18:45] DONE | model=SEP_LSTM | log=BPIC15_3
[2026-07-01 08:18:45] RUNNING | model=SEP_LSTM | log=Sepsis
[2026-07-01 08:21:50] DONE | model=CRTP_LSTM_NDA | log=Sepsis
[2026-07-01 08:21:50] RUNNING | model=BEST | log=Sepsis
[2026-07-01 08:22:09] DONE | model=BEST | log=Sepsis
[2026-07-01 08:22:09] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-07-01 08:26:02] DONE | model=ED_LSTM | log=Sepsis
[2026-07-01 08:26:02] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-07-01 08:29:05] DONE | model=SEP_LSTM | log=Sepsis
[2026-07-01 08:29:05] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-07-01 08:34:57] DONE | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-07-01 08:34:57] RUNNING | model=SEP_LSTM | log=BPI_Challenge_2012_A
[2026-07-01 08:36:07] DONE | model=BEST | log=BPIC15_5
[2026-07-01 08:36:07] RUNNING | model=BEST | log=BPI_Challenge_2012_A
[2026-07-01 08:36:24] DONE | model=BEST | log=BPI_Challenge_2012_A
[2026-07-01 08:36:24] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
