[2026-07-04 09:48:14] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-07-04 09:48:14] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-07-04 09:48:14] RUNNING | model=SEP_LSTM | log=BPIC15_1
[2026-07-04 09:48:14] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-07-04 09:48:14] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-07-04 09:48:14] RUNNING | model=BEST | log=BPIC15_1
[2026-07-04 09:48:14] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-07-04 09:48:14] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-07-04 09:48:14] RUNNING | model=SEP_LSTM | log=BPIC15_2
[2026-07-04 09:48:14] RUNNING | model=BEST | log=BPIC15_2
[2026-07-04 09:48:14] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-07-04 09:48:14] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-07-04 09:48:14] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-07-04 09:48:14] RUNNING | model=BEST | log=BPIC15_3
[2026-07-04 09:48:14] RUNNING | model=SEP_LSTM | log=BPIC15_3
[2026-07-04 09:48:14] RUNNING | model=SuTraN_NDA | log=BPIC15_4
[2026-07-04 09:48:14] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-07-04 09:48:14] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-07-04 09:48:14] RUNNING | model=SEP_LSTM | log=BPIC15_4
[2026-07-04 09:48:14] RUNNING | model=BEST | log=BPIC15_4
[2026-07-04 10:00:14] DONE | model=BEST | log=BPIC15_4
[2026-07-04 10:00:14] RUNNING | model=SuTraN_NDA | log=BPIC15_5
[2026-07-04 10:09:39] DONE | model=BEST | log=BPIC15_1
[2026-07-04 10:09:39] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-07-04 10:13:01] DONE | model=BEST | log=BPIC15_2
[2026-07-04 10:13:01] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-07-04 10:13:52] DONE | model=BEST | log=BPIC15_3
[2026-07-04 10:13:52] RUNNING | model=SEP_LSTM | log=BPIC15_5
[2026-07-04 10:29:50] DONE | model=SEP_LSTM | log=BPIC15_4
[2026-07-04 10:29:50] RUNNING | model=BEST | log=BPIC15_5
[2026-07-04 10:35:33] DONE | model=SEP_LSTM | log=BPIC15_2
[2026-07-04 10:35:33] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-07-04 10:37:41] DONE | model=SEP_LSTM | log=BPIC15_1
[2026-07-04 10:37:41] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
